series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_classification,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1962,A,0,196252,01/01/1962,X,Exports,,1,Total,0,World,2000,,17.24954641,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1963,A,0,196352,01/01/1963,M,Imports,,1,Total,0,World,2000,,10.16975943,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1966,A,0,196652,01/01/1966,M,Imports,,1,Total,0,World,2000,,10.68177873,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1966,A,0,196652,01/01/1966,X,Exports,,1,Total,0,World,2000,,19.36465127,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1967,A,0,196752,01/01/1967,M,Imports,,1,Total,0,World,2000,,10.7192391,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1967,A,0,196752,01/01/1967,X,Exports,,1,Total,0,World,2000,,18.15819154,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1968,A,0,196852,01/01/1968,M,Imports,,1,Total,0,World,2000,,10.57387459,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1968,A,0,196852,01/01/1968,X,Exports,,1,Total,0,World,2000,,17.97087236,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1969,A,0,196952,01/01/1969,M,Imports,,1,Total,0,World,2000,,10.89941434,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1969,A,0,196952,01/01/1969,X,Exports,,1,Total,0,World,2000,,18.34534726,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1970,A,0,197052,01/01/1970,M,Imports,,1,Total,0,World,2000,,11.27319573,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1970,A,0,197052,01/01/1970,X,Exports,,1,Total,0,World,2000,,17.78371663,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1971,A,0,197152,01/01/1971,M,Imports,,1,Total,0,World,2000,,11.97333918,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1971,A,0,197152,01/01/1971,X,Exports,,1,Total,0,World,2000,,17.98656402,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2003,A,0,200352,01/01/2003,X,Exports,,1,Total,0,World,2000,,98.25136076,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2003,A,0,200352,01/01/2003,M,Imports,,1,Total,0,World,2000,,92.75735731,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2004,A,0,200452,01/01/2004,M,Imports,,1,Total,0,World,2000,,87.62236293,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1972,A,0,197252,01/01/1972,M,Imports,,1,Total,0,World,2000,,12.44515711,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1972,A,0,197252,01/01/1972,X,Exports,,1,Total,0,World,2000,,20.56048644,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1973,A,0,197352,01/01/1973,M,Imports,,1,Total,0,World,2000,,12.45319738,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1973,A,0,197352,01/01/1973,X,Exports,,1,Total,0,World,2000,,26.45728109,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1974,A,0,197452,01/01/1974,M,Imports,,1,Total,0,World,2000,,17.37402809,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1974,A,0,197452,01/01/1974,X,Exports,,1,Total,0,World,2000,,31.05918698,,P,Price,A,Actual
